Cla_fp1,Piloto,#_x,Chasis_x,Motor_x,Vueltas_fp1,Tiempo_fp1,Intervalo_fp1,Cla_fp2,#_y,Chasis_y,Motor_y,Vueltas_fp2,Tiempo_fp2,Intervalo_fp2,Vueltas_FP3,Tiempo_FP3,Intervalo_FP3,Km/h_FP3,Cla_Grid,Tiempo_Grid,Km/h_Grid,Vueltas_Race,Tiempo_Race,Intervalo_Race,Km/h_Race,Boxes_Race,Puntos_Race,Abandono_Race
13,A. Albon  Red Bull Racing,23,Red Bull,Honda,47,+1.149 1'05.453,0.01,13,23,Red Bull,Honda,47,+1.149 1'05.453,0.01,22,+0.595 1'04.725,0.022,240.166,4,+0.929 1'03.868,243.389,67,+4 Laps 1:26'42.987,2 Laps,200.086,3.0,,Unidad de Potencia
14,A. Giovinazzi  Alfa Romeo,99,Alfa Romeo,Ferrari,49,+1.304 1'05.608,0.155,14,99,Alfa Romeo,Ferrari,49,+1.304 1'05.608,0.155,16,+1.524 1'05.654,0.006,236.768,18,+2.236 1'05.175,238.508,71,+21.146 1:31'16.885,3.690,201.433,3.0,2.0,
9,C. Leclerc  Ferrari,16,Ferrari,Ferrari,46,+0.994 1'05.298,0.083,9,16,Ferrari,Ferrari,46,+0.994 1'05.298,0.083,19,+0.573 1'04.703,0.098,240.248,7,+0.984 1'03.923,243.18,71,+2.700 1:30'58.439,2.700,202.114,3.0,18.0,
10,C. Sainz  McLaren F1,55,McLaren,Renault,37,+1.048 1'05.352,0.054,10,55,McLaren,Renault,37,+1.048 1'05.352,0.054,24,+1.047 1'05.177,0.089,238.501,8,+1.032 1'03.971,242.997,71,+8.903 1:31'04.642,3.214,201.884,3.0,10.0,
12,D. Kvyat  Racing Bulls,26,AlphaTauri,Honda,34,+1.139 1'05.443,0.028,12,26,AlphaTauri,Honda,34,+1.139 1'05.443,0.028,24,+1.160 1'05.290,0.113,238.088,13,+1.492 1'04.431,241.262,69,+2 Laps 1:29'04.910,2 Laps,200.099,3.0,,Puncture
5,D. Ricciardo  Renault F1 Team,3,Renault,Renault,36,+0.668 1'04.972,0.011,5,3,Renault,Renault,36,+0.668 1'04.972,0.011,13,+0.958 1'05.088,0.051,238.827,10,+1.300 1'04.239,241.983,17,+54 Laps 20'41.329,3 Laps,212.52,1.0,,Overheating
11,E. Ocon  Renault F1 Team,31,Renault,Renault,42,+1.111 1'05.415,0.063,11,31,Renault,Renault,42,+1.111 1'05.415,0.063,11,+0.907 1'05.037,0.087,239.014,14,+1.704 1'04.643,240.471,71,+17.456 1:31'13.195,0.774,201.569,2.0,4.0,
18,G. Russell  Williams,63,Williams,Mercedes,40,+1.821 1'06.125,0.109,18,63,Williams,Mercedes,40,+1.821 1'06.125,0.109,21,+1.435 1'05.565,0.202,237.089,17,+2.228 1'05.167,238.537,49,+22 Laps 1:00'28.281,4 Laps,209.807,1.0,,Fuel pressure
15,K. Magnussen  Haas F1 Team,20,Haas,Ferrari,44,+1.374 1'05.678,0.07,15,20,Haas,Ferrari,44,+1.374 1'05.678,0.07,18,+1.518 1'05.648,0.083,236.79,16,+2.225 1'05.164,238.548,24,+47 Laps 28'42.304,25 Laps,216.35,,,Frenos
19,K. Raikkonen  Alfa Romeo,7,Alfa Romeo,Ferrari,44,+1.974 1'06.278,0.153,19,7,Alfa Romeo,Ferrari,44,+1.974 1'06.278,0.153,19,+1.643 1'05.773,0.119,236.34,19,+2.285 1'05.224,238.329,53,+18 Laps 1:06'20.856,14 Laps,206.845,2.0,,Rueda perdida
1,L. Hamilton  Mercedes,44,Mercedes,Mercedes,42,1'04.304,,1,44,Mercedes,Mercedes,42,1'04.304,,21,1'04.130,,242.395,5,+0.012 1'02.951,246.934,71,+5.689 1:31'01.428,0.198,202.003,2.0,12.0,
6,L. Norris  McLaren F1,4,McLaren,Renault,38,+0.783 1'05.087,0.115,6,4,McLaren,Renault,38,+0.783 1'05.087,0.115,22,+0.820 1'04.950,0.001,239.334,3,+0.687 1'03.626,244.315,71,+5.491 1:31'01.230,2.791,202.01,3.0,16.0,
7,L. Stroll  Racing Point,18,Racing Point,Mercedes,48,+0.831 1'05.135,0.048,7,18,Racing Point,Mercedes,48,+0.831 1'05.135,0.048,18,+0.788 1'04.918,0.067,239.452,9,+1.090 1'04.029,242.777,20,+51 Laps 24'01.226,4 Laps,215.401,1.0,,Unidad de Potencia
8,M. Verstappen  Red Bull Racing,33,Red Bull,Honda,41,+0.911 1'05.215,0.08,8,33,Red Bull,Honda,41,+0.911 1'05.215,0.08,20,+0.283 1'04.413,0.136,241.33,2,+0.538 1'03.477,244.888,11,+60 Laps 13'57.678,6 Laps,203.585,1.0,,HidrÃ¡ulico
20,N. Latifi  Williams,6,Williams,Mercedes,45,+2.820 1'07.124,0.846,20,6,Williams,Mercedes,45,+2.820 1'07.124,0.846,6,+2.919 1'07.049,1.276,231.842,20,+2.818 1'05.757,236.397,71,+31.650 1:31'27.389,7.105,201.047,3.0,,
17,P. Gasly  Racing Bulls,10,AlphaTauri,Honda,51,+1.712 1'06.016,0.108,17,10,AlphaTauri,Honda,51,+1.712 1'06.016,0.108,19,+0.819 1'04.949,0.031,239.338,12,+1.366 1'04.305,241.735,71,+16.682 1:31'12.421,1.590,201.597,2.0,6.0,
16,R. Grosjean  Haas F1 Team,8,Haas,Ferrari,50,+1.604 1'05.908,0.23,16,8,Haas,Ferrari,50,+1.604 1'05.908,0.23,18,+1.233 1'05.363,0.073,237.822,15,+1.752 1'04.691,240.293,49,+22 Laps 1:01'35.277,1'06.996,206.003,2.0,,Frenos
3,S. PÃ©rez  Racing Point,11,Racing Point,Mercedes,48,+0.641 1'04.945,0.444,3,11,Racing Point,Mercedes,48,+0.641 1'04.945,0.444,19,+0.475 1'04.605,0.192,240.612,6,+0.929 1'03.868,243.389,71,+15.092 1:31'10.831,6.189,201.656,2.0,8.0,
4,S. Vettel  Ferrari,5,Ferrari,Ferrari,48,+0.657 1'04.961,0.016,4,5,Ferrari,Ferrari,48,+0.657 1'04.961,0.016,20,+0.721 1'04.851,0.126,239.7,11,+1.267 1'04.206,242.108,71,+24.545 1:31'20.284,3.399,201.308,3.0,1.0,
2,V. Bottas  Mercedes,77,Mercedes,Mercedes,37,+0.197 1'04.501,0.197,2,77,Mercedes,Mercedes,37,+0.197 1'04.501,0.197,22,+0.147 1'04.277,0.147,241.84,1,1'02.939,246.981,71,1:30'55.739,,202.214,2.0,25.0,
